,binary_search_min_step,grad_descent
0,-13.2358147,-13.2358147
1,-17.0,-13.246659222380462
2,-17.0,-13.257743609651673
3,-17.0,-13.269078699918737
4,-17.0,-13.280676082228258
5,-17.0,-13.292548167538847
6,-17.0,-13.304708268274448
7,-17.0,-13.317170687736093
8,-17.0,-13.329950820874968
9,-17.0,-13.343065268203505
10,-17.0,-13.356531964953723
11,-17.0,-13.370370327998431
12,-17.0,-13.384601423547787
13,-17.0,-13.399248159247579
14,-17.0,-13.41433550506536
15,-17.0,-13.429890748298572
16,-17.0,-13.445943789228098
17,-17.0,-13.462527485442621
18,-17.0,-13.47967805477014
19,-17.0,-13.497435549201352
20,-17.0,-13.515844415353017
21,-17.0,-13.534954161140144
22,-17.0,-13.55482015374356
23,-17.0,-13.57550458115129
24,-17.0,-13.597077619199911
25,-17.0,-13.619618859130146
26,-17.0,-13.643219068643432
27,-17.0,-13.667982384453273
28,-17.0,-13.694029069621
29,-17.0,-13.721499019568402
30,-17.0,-13.750556274459946
31,-17.0,-13.781394905327575
32,-17.0,-13.81424680774926
33,-17.0,-13.849392195391207
34,-17.0,-13.887173997769569
35,-17.0,-13.928018042919705
36,-17.0,-13.972462053401122
37,-17.0,-14.021198507707762
38,-17.0,-14.07514014902193
39,-17.0,-14.13552416606272
40,-17.0,-14.204086039164688
41,-17.0,-14.283367417059488
42,-17.0,-14.3773041838716
43,-17.0,-14.492467394919249
44,-17.0,-14.641069602233998
45,-17.0,-14.849917618986566
46,-17.0,-15.198271947283803
47,-17.0,-16.133798835547296
48,-17.0,-16.990277442259057
49,-17.0,-16.999942433396363
50,-17.0,-16.999999659175238
51,-17.0,-16.999999997982133
52,-17.0,-16.999999999988056
53,-17.0,-16.999999999999922
54,-17.0,-16.999999999999964
55,-17.0,-16.999999999999964
56,-17.0,-16.999999999999964
57,-17.0,-16.999999999999964
58,-17.0,-16.999999999999964
59,-17.0,-16.999999999999964
60,-17.0,-16.999999999999964
61,-17.0,-16.999999999999964
62,-17.0,-16.999999999999964
63,-17.0,-16.999999999999964
64,-17.0,-16.999999999999964
65,-17.0,-16.999999999999964
66,-17.0,-16.999999999999964
67,-17.0,-16.999999999999964
68,-17.0,-16.999999999999964
69,-17.0,-16.999999999999964
70,-17.0,-16.999999999999964
71,-17.0,-16.999999999999964
72,-17.0,-16.999999999999964
73,-17.0,-16.999999999999964
74,-17.0,-16.999999999999964
75,-17.0,-16.999999999999964
76,-17.0,-16.999999999999964
77,-17.0,-16.999999999999964
78,-17.0,-16.999999999999964
79,-17.0,-16.999999999999964
80,-17.0,-16.999999999999964
81,-17.0,-16.999999999999964
82,-17.0,-16.999999999999964
83,-17.0,-16.999999999999964
84,-17.0,-16.999999999999964
85,-17.0,-16.999999999999964
86,-17.0,-16.999999999999964
87,-17.0,-16.999999999999964
88,-17.0,-16.999999999999964
89,-17.0,-16.999999999999964
